@relation 'dec'
@attribute attr0 {0,1}
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute attr8 {0,1}
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503, 504, 505, 506, 507, 508, 509, 510, 511}
@data
0,	0,	1,	0,	0,	0,	1,	0,	0,	68
0,	0,	0,	0,	0,	1,	0,	1,	0,	10
1,	0,	1,	1,	1,	0,	1,	0,	0,	372
1,	1,	1,	1,	0,	1,	0,	1,	0,	490
1,	1,	1,	1,	0,	1,	1,	0,	1,	493
0,	0,	1,	0,	1,	1,	1,	1,	0,	94
0,	0,	1,	0,	0,	1,	1,	1,	0,	78
0,	1,	0,	1,	1,	1,	0,	0,	0,	184
0,	1,	0,	0,	0,	1,	0,	1,	1,	139
0,	0,	0,	1,	1,	0,	0,	0,	0,	48
0,	1,	0,	0,	1,	0,	0,	1,	0,	146
1,	1,	1,	1,	1,	0,	1,	0,	1,	501
1,	1,	1,	0,	1,	1,	1,	1,	1,	479
1,	0,	1,	1,	0,	1,	0,	1,	0,	362
1,	1,	0,	1,	1,	1,	0,	1,	1,	443
0,	0,	1,	1,	0,	0,	1,	0,	1,	101
0,	0,	0,	1,	0,	1,	0,	1,	0,	42
0,	1,	1,	1,	0,	0,	1,	1,	0,	230
0,	0,	0,	0,	0,	0,	0,	0,	1,	1
0,	0,	0,	0,	0,	1,	1,	1,	0,	14
1,	1,	0,	0,	1,	0,	1,	1,	0,	406
0,	1,	1,	1,	1,	0,	0,	0,	0,	240
0,	1,	0,	0,	1,	1,	1,	0,	1,	157
1,	1,	1,	1,	1,	0,	1,	1,	1,	503
1,	1,	0,	1,	1,	1,	1,	0,	1,	445
0,	0,	0,	1,	1,	1,	0,	0,	1,	57
0,	0,	0,	1,	0,	1,	1,	0,	1,	45
0,	1,	0,	1,	0,	0,	0,	0,	0,	160
1,	0,	0,	1,	1,	1,	1,	0,	0,	316
1,	0,	1,	0,	1,	0,	0,	1,	0,	338
1,	0,	1,	1,	0,	0,	0,	1,	0,	354
1,	0,	1,	0,	0,	0,	1,	0,	0,	324
1,	0,	0,	0,	1,	1,	1,	1,	1,	287
1,	0,	0,	0,	1,	0,	0,	1,	0,	274
0,	1,	0,	1,	0,	0,	0,	1,	1,	163
0,	1,	0,	0,	1,	1,	1,	1,	0,	158
0,	1,	0,	0,	0,	1,	0,	1,	0,	138
0,	1,	1,	0,	1,	1,	1,	0,	0,	220
0,	1,	0,	1,	1,	1,	0,	0,	1,	185
0,	0,	1,	0,	1,	0,	0,	0,	1,	81
1,	1,	1,	0,	0,	1,	1,	1,	0,	462
0,	0,	1,	1,	0,	0,	0,	0,	1,	97
1,	0,	0,	1,	1,	1,	1,	0,	1,	317
1,	0,	1,	0,	1,	0,	0,	0,	1,	337
0,	0,	1,	0,	1,	0,	0,	1,	1,	83
1,	1,	1,	1,	0,	0,	1,	1,	1,	487
1,	0,	1,	1,	0,	1,	0,	1,	1,	363
0,	0,	0,	1,	1,	1,	0,	1,	1,	59
1,	1,	0,	1,	1,	1,	0,	0,	1,	441
1,	1,	0,	1,	0,	1,	1,	1,	0,	430
1,	0,	0,	0,	0,	1,	0,	1,	0,	266
0,	1,	0,	1,	0,	0,	1,	1,	0,	166
0,	1,	0,	0,	1,	1,	0,	0,	0,	152
1,	1,	1,	0,	1,	0,	0,	1,	0,	466
0,	1,	1,	0,	1,	1,	1,	1,	0,	222
0,	1,	1,	0,	1,	0,	1,	0,	0,	212
1,	0,	1,	1,	1,	1,	0,	1,	1,	379
1,	0,	1,	1,	1,	1,	0,	0,	1,	377
0,	1,	0,	1,	1,	1,	0,	1,	0,	186
1,	0,	0,	1,	0,	1,	0,	1,	1,	299
0,	1,	0,	0,	1,	1,	0,	1,	0,	154
1,	0,	1,	0,	1,	0,	1,	0,	1,	341
0,	0,	0,	0,	1,	0,	0,	1,	0,	18
1,	0,	0,	0,	1,	0,	1,	0,	1,	277
1,	1,	0,	1,	0,	1,	1,	1,	1,	431
0,	1,	0,	0,	1,	0,	0,	0,	1,	145
1,	0,	1,	1,	1,	0,	1,	0,	1,	373
1,	1,	1,	0,	1,	1,	0,	1,	0,	474
1,	1,	0,	0,	1,	1,	1,	0,	0,	412
0,	1,	1,	1,	1,	0,	1,	0,	1,	245
1,	0,	0,	0,	1,	1,	1,	0,	1,	285
1,	1,	0,	0,	1,	0,	1,	0,	1,	405
1,	0,	0,	1,	0,	1,	1,	1,	0,	302
1,	0,	0,	0,	1,	1,	0,	1,	1,	283
1,	0,	0,	0,	1,	0,	1,	1,	0,	278
1,	1,	0,	1,	0,	1,	0,	1,	0,	426
1,	0,	0,	0,	1,	1,	0,	0,	1,	281
0,	1,	1,	1,	0,	1,	1,	0,	1,	237
0,	1,	0,	1,	0,	0,	1,	0,	0,	164
0,	0,	1,	0,	0,	0,	0,	1,	1,	67
0,	0,	1,	0,	1,	1,	0,	0,	0,	88
1,	1,	1,	1,	1,	1,	1,	1,	1,	511
1,	1,	1,	0,	1,	1,	1,	1,	0,	478
0,	1,	1,	0,	0,	1,	0,	1,	0,	202
1,	0,	1,	0,	1,	1,	1,	1,	0,	350
1,	1,	0,	1,	0,	0,	0,	1,	1,	419
0,	1,	0,	1,	0,	1,	0,	0,	0,	168
1,	1,	1,	0,	1,	0,	0,	1,	1,	467
1,	1,	1,	0,	1,	0,	1,	0,	1,	469
1,	0,	1,	0,	1,	1,	1,	0,	1,	349
0,	1,	1,	0,	0,	0,	1,	0,	0,	196
1,	0,	1,	1,	0,	1,	1,	1,	0,	366
0,	1,	1,	1,	0,	1,	0,	0,	1,	233
0,	0,	1,	0,	0,	1,	0,	1,	1,	75
1,	1,	0,	1,	0,	1,	0,	0,	1,	425
0,	0,	1,	0,	1,	0,	0,	0,	0,	80
1,	0,	1,	1,	1,	0,	0,	0,	1,	369
0,	0,	1,	1,	1,	0,	1,	0,	1,	117
0,	1,	0,	0,	0,	0,	1,	0,	0,	132
1,	0,	1,	0,	1,	0,	0,	1,	1,	339
1,	0,	1,	1,	0,	1,	1,	1,	1,	367
0,	1,	1,	0,	1,	0,	1,	1,	0,	214
0,	1,	1,	0,	1,	0,	0,	1,	0,	210
0,	1,	0,	0,	1,	1,	1,	0,	0,	156
1,	1,	1,	0,	0,	0,	1,	1,	0,	454
0,	1,	0,	0,	0,	1,	1,	1,	0,	142
0,	1,	0,	1,	0,	0,	0,	1,	0,	162
0,	1,	1,	1,	0,	0,	0,	1,	1,	227
1,	0,	1,	0,	1,	1,	1,	0,	0,	348
1,	1,	0,	1,	0,	1,	1,	0,	1,	429
1,	1,	0,	1,	1,	0,	1,	0,	1,	437
0,	0,	1,	0,	0,	0,	1,	1,	1,	71
0,	1,	1,	1,	0,	1,	0,	1,	0,	234
1,	1,	0,	0,	1,	1,	0,	1,	0,	410
0,	0,	0,	1,	1,	1,	0,	0,	0,	56
1,	1,	1,	0,	0,	0,	1,	0,	1,	453
0,	0,	0,	1,	0,	1,	0,	0,	1,	41
0,	0,	1,	0,	0,	0,	0,	1,	0,	66
1,	0,	1,	0,	1,	0,	1,	1,	0,	342
1,	0,	0,	1,	1,	1,	0,	0,	1,	313
0,	0,	0,	1,	1,	1,	0,	1,	0,	58
0,	1,	1,	0,	0,	0,	1,	1,	0,	198
0,	0,	1,	0,	0,	0,	1,	1,	0,	70
1,	0,	0,	0,	1,	1,	1,	0,	0,	284
0,	0,	0,	0,	1,	0,	1,	0,	0,	20
0,	1,	1,	1,	0,	0,	0,	1,	0,	226
0,	0,	1,	0,	0,	1,	0,	1,	0,	74
1,	0,	1,	0,	0,	1,	0,	0,	1,	329
0,	1,	1,	0,	1,	0,	0,	1,	1,	211
1,	0,	1,	0,	1,	0,	1,	1,	1,	343
1,	1,	1,	0,	0,	1,	0,	1,	1,	459
0,	1,	0,	1,	0,	1,	0,	0,	1,	169
1,	1,	0,	1,	0,	0,	1,	0,	1,	421
1,	1,	1,	0,	1,	0,	1,	1,	0,	470
0,	0,	1,	1,	0,	0,	0,	1,	1,	99
0,	1,	0,	1,	0,	1,	0,	1,	0,	170
1,	0,	1,	0,	1,	1,	0,	1,	1,	347
0,	0,	1,	0,	1,	1,	0,	1,	0,	90
1,	1,	0,	1,	0,	1,	0,	1,	1,	427
1,	0,	1,	0,	1,	1,	0,	1,	0,	346
1,	0,	1,	0,	1,	0,	1,	0,	0,	340
1,	0,	0,	1,	0,	1,	1,	0,	0,	300
1,	1,	1,	1,	0,	1,	0,	1,	1,	491
0,	1,	0,	1,	0,	0,	1,	0,	1,	165
0,	1,	0,	1,	1,	0,	1,	0,	1,	181
1,	0,	1,	0,	0,	1,	0,	1,	1,	331
